X_Positive_Win_Rates,X_Negative_Win_Rates,X_Overall_Win_Rates,Y_Positive_Win_Rates,Y_Negative_Win_Rates,Y_Overall_Win_Rates
0.35,0.5,0.41,0.46,0.64,0.53
0.39,0.63,0.49,0.4,0.7,0.52
0.42,0.61,0.5,0.42,0.67,0.52
0.51,0.6,0.55,0.41,0.58,0.48
0.56,0.48,0.52,0.41,0.5,0.44
