Iteration 0: Weight 0; Strategy Change = 0.131378
Iteration 1: Weight 0; Strategy Change = 0.233957
Iteration 2: Weight 0; Strategy Change = 0.0059272
Iteration 3: Weight 0; Strategy Change = 0.0105353
Iteration 4: Weight 0; Strategy Change = 0.00447286
Iteration 5: Weight 0; Strategy Change = 0.00234382
Iteration 6: Weight 0; Strategy Change = 0.0013877
Iteration 7: Weight 0; Strategy Change = 0.000891568
Iteration 8: Weight 0; Strategy Change = 0.000607651
Iteration 9: Weight 0; Strategy Change = 0.000433139
Iteration 10: Weight 0; Strategy Change = 0.000319836
Iteration 11: Weight 0; Strategy Change = 0.000243006
Iteration 12: Weight 0; Strategy Change = 0.000189034
Iteration 13: Weight 0; Strategy Change = 0.00014999
Iteration 14: Weight 0; Strategy Change = 0.000121036
Iteration 15: Weight 0; Strategy Change = 9.91042e-05
Iteration 16: Weight 0; Strategy Change = 8.21833e-05
Iteration 17: Weight 0; Strategy Change = 6.89169e-05
Iteration 18: Weight 0; Strategy Change = 5.83673e-05
Iteration 19: Weight 0; Strategy Change = 4.98716e-05
Iteration 20: Weight 0; Strategy Change = 4.29524e-05
Iteration 21: Weight 0; Strategy Change = 3.72595e-05
Iteration 22: Weight 0; Strategy Change = 3.25325e-05
Iteration 23: Weight 0; Strategy Change = 2.85744e-05
Iteration 24: Weight 0; Strategy Change = 2.52349e-05
Iteration 25: Weight 0; Strategy Change = 2.23973e-05
Iteration 26: Weight 0; Strategy Change = 1.99708e-05
Iteration 27: Weight 0; Strategy Change = 1.78833e-05
Iteration 28: Weight 0; Strategy Change = 1.60776e-05
Iteration 29: Weight 0; Strategy Change = 1.45076e-05
Iteration 30: Weight 0; Strategy Change = 1.31359e-05
Iteration 31: Weight 0; Strategy Change = 1.19323e-05
Iteration 32: Weight 0; Strategy Change = 1.08717e-05
Iteration 33: Weight 0; Strategy Change = 9.93339e-06
Iteration 34: Weight 0; Strategy Change = 9.10028e-06
Iteration 35: Weight 0; Strategy Change = 8.35799e-06
Iteration 36: Weight 0; Strategy Change = 7.69446e-06
Iteration 37: Weight 0; Strategy Change = 7.0995e-06
Iteration 38: Weight 0; Strategy Change = 6.56446e-06
Iteration 39: Weight 0; Strategy Change = 6.08198e-06
Iteration 40: Weight 0; Strategy Change = 5.64574e-06
Iteration 41: Weight 0; Strategy Change = 5.25034e-06
Iteration 42: Weight 0; Strategy Change = 4.89109e-06
Iteration 43: Weight 0; Strategy Change = 4.56395e-06
Iteration 44: Weight 0; Strategy Change = 4.26542e-06
Iteration 45: Weight 0; Strategy Change = 3.99241e-06
Iteration 46: Weight 0; Strategy Change = 3.74227e-06
Iteration 47: Weight 0; Strategy Change = 3.51264e-06
Iteration 48: Weight 0; Strategy Change = 3.30145e-06
Iteration 49: Weight 0; Strategy Change = 3.1069e-06
Iteration 50: Weight 0; Strategy Change = 2.92738e-06
Iteration 51: Weight 0; Strategy Change = 2.76145e-06
Iteration 52: Weight 0; Strategy Change = 2.60785e-06
Iteration 53: Weight 0; Strategy Change = 2.46547e-06
Iteration 54: Weight 0; Strategy Change = 2.33328e-06
Iteration 55: Weight 0; Strategy Change = 2.2104e-06
Iteration 56: Weight 0; Strategy Change = 2.09602e-06
Iteration 57: Weight 0; Strategy Change = 1.98941e-06
Iteration 58: Weight 0; Strategy Change = 1.88993e-06
Iteration 59: Weight 0; Strategy Change = 1.79699e-06
Iteration 60: Weight 0; Strategy Change = 1.71005e-06
Iteration 61: Weight 0; Strategy Change = 1.62865e-06
Iteration 62: Weight 0; Strategy Change = 1.55234e-06
Iteration 63: Weight 0; Strategy Change = 1.48074e-06
Iteration 64: Weight 0; Strategy Change = 1.41349e-06
Iteration 65: Weight 0; Strategy Change = 1.35025e-06
Iteration 66: Weight 0; Strategy Change = 1.29074e-06
Iteration 67: Weight 0; Strategy Change = 1.23469e-06
Iteration 68: Weight 0; Strategy Change = 1.18184e-06
Iteration 69: Weight 0; Strategy Change = 1.13197e-06
Iteration 70: Weight 0; Strategy Change = 1.08488e-06
Iteration 71: Weight 0; Strategy Change = 1.04037e-06
Iteration 72: Weight 0; Strategy Change = 9.98263e-07
Iteration 73: Weight 0; Strategy Change = 9.58406e-07
