Iteration 138: Weight 0; Strategy Change = 0
Iteration 139: Weight 0; Strategy Change = 0
Iteration 140: Weight 0; Strategy Change = 0
Iteration 141: Weight 0; Strategy Change = 0
Iteration 142: Weight 0; Strategy Change = 0
Iteration 143: Weight 0; Strategy Change = 0
Iteration 144: Weight 0; Strategy Change = 0
Iteration 145: Weight 0; Strategy Change = 0
Iteration 146: Weight 0; Strategy Change = 0
Iteration 147: Weight 0; Strategy Change = 0
Iteration 148: Weight 0; Strategy Change = 0
Iteration 149: Weight 0; Strategy Change = 0
Iteration 150: Weight 0; Strategy Change = 0
Iteration 151: Weight 0; Strategy Change = 0
Iteration 152: Weight 0; Strategy Change = 0
Iteration 153: Weight 0; Strategy Change = 0
Iteration 154: Weight 0; Strategy Change = 0
Iteration 155: Weight 0; Strategy Change = 0
Iteration 156: Weight 0; Strategy Change = 0
Iteration 157: Weight 0; Strategy Change = 0
Iteration 158: Weight 0; Strategy Change = 0
Iteration 159: Weight 0; Strategy Change = 0
Iteration 160: Weight 0; Strategy Change = 0
Iteration 161: Weight 0; Strategy Change = 0
Iteration 162: Weight 0; Strategy Change = 0
Iteration 163: Weight 0; Strategy Change = 0
Iteration 164: Weight 0; Strategy Change = 0
Iteration 165: Weight 0; Strategy Change = 0
Iteration 166: Weight 0; Strategy Change = 0
Iteration 167: Weight 0; Strategy Change = 0
Iteration 168: Weight 0; Strategy Change = 0
Iteration 169: Weight 0; Strategy Change = 0
Iteration 170: Weight 0; Strategy Change = 0
Iteration 171: Weight 0; Strategy Change = 0
Iteration 172: Weight 0; Strategy Change = 0
Iteration 173: Weight 0; Strategy Change = 0
Iteration 174: Weight 0; Strategy Change = 0
Iteration 175: Weight 0; Strategy Change = 0
Iteration 176: Weight 0; Strategy Change = 0
Iteration 177: Weight 0; Strategy Change = 0
Iteration 178: Weight 0; Strategy Change = 0
Iteration 179: Weight 0; Strategy Change = 0
Iteration 180: Weight 0; Strategy Change = 0
Iteration 181: Weight 0; Strategy Change = 0
Iteration 182: Weight 0; Strategy Change = 0
Iteration 183: Weight 0; Strategy Change = 0
Iteration 184: Weight 0; Strategy Change = 0
Iteration 185: Weight 0; Strategy Change = 0
Iteration 186: Weight 0; Strategy Change = 0
Iteration 187: Weight 0; Strategy Change = 0
Iteration 188: Weight 0; Strategy Change = 0
Iteration 189: Weight 0; Strategy Change = 0
Iteration 190: Weight 0; Strategy Change = 0
Iteration 191: Weight 0; Strategy Change = 0
Iteration 192: Weight 0; Strategy Change = 0
Iteration 193: Weight 0; Strategy Change = 0
Iteration 194: Weight 0; Strategy Change = 0
Iteration 195: Weight 0; Strategy Change = 0
Iteration 196: Weight 0; Strategy Change = 0
Iteration 197: Weight 0; Strategy Change = 0
Iteration 198: Weight 0; Strategy Change = 0
Iteration 199: Weight 0; Strategy Change = 0
Iteration 200: Weight 0; Strategy Change = 0
Iteration 201: Weight 0; Strategy Change = 0
Iteration 202: Weight 0; Strategy Change = 0
Iteration 203: Weight 0; Strategy Change = 0
Iteration 204: Weight 0; Strategy Change = 0
Iteration 205: Weight 0; Strategy Change = 0
Iteration 206: Weight 0; Strategy Change = 0
Iteration 207: Weight 0; Strategy Change = 0
Iteration 208: Weight 0; Strategy Change = 0
Iteration 209: Weight 0; Strategy Change = 0
Iteration 210: Weight 0; Strategy Change = 0
Iteration 211: Weight 0; Strategy Change = 0
Iteration 212: Weight 0; Strategy Change = 0
Iteration 213: Weight 0; Strategy Change = 0
Iteration 214: Weight 0; Strategy Change = 0
Iteration 215: Weight 0; Strategy Change = 0
Iteration 216: Weight 0; Strategy Change = 0
Iteration 217: Weight 0; Strategy Change = 0
Iteration 218: Weight 0; Strategy Change = 0
Iteration 219: Weight 0; Strategy Change = 0
Iteration 220: Weight 0; Strategy Change = 0
Iteration 221: Weight 0; Strategy Change = 0
Iteration 222: Weight 0; Strategy Change = 0
Iteration 223: Weight 0; Strategy Change = 0
Iteration 224: Weight 0; Strategy Change = 0
Iteration 225: Weight 0; Strategy Change = 0
Iteration 226: Weight 0; Strategy Change = 0
Iteration 227: Weight 0; Strategy Change = 0
Iteration 228: Weight 0; Strategy Change = 0
Iteration 229: Weight 0; Strategy Change = 0
Iteration 230: Weight 0; Strategy Change = 0
Iteration 231: Weight 0; Strategy Change = 0
Iteration 232: Weight 0; Strategy Change = 0
Iteration 233: Weight 0; Strategy Change = 0
Iteration 234: Weight 0; Strategy Change = 0
Iteration 235: Weight 0; Strategy Change = 0
Iteration 236: Weight 0; Strategy Change = 0
Iteration 237: Weight 0; Strategy Change = 0
Iteration 238: Weight 0; Strategy Change = 0
Iteration 239: Weight 0; Strategy Change = 0
Iteration 240: Weight 0; Strategy Change = 0
Iteration 241: Weight 0; Strategy Change = 0
Iteration 242: Weight 0; Strategy Change = 0
Iteration 243: Weight 0; Strategy Change = 0
Iteration 244: Weight 0; Strategy Change = 0
Iteration 245: Weight 0; Strategy Change = 0
Iteration 246: Weight 0; Strategy Change = 0
Iteration 247: Weight 0; Strategy Change = 0
Iteration 248: Weight 0; Strategy Change = 0
Iteration 249: Weight 0; Strategy Change = 0
Iteration 250: Weight 0; Strategy Change = 0
Iteration 251: Weight 0; Strategy Change = 0
Iteration 252: Weight 0; Strategy Change = 0
Iteration 253: Weight 0; Strategy Change = 0
Iteration 254: Weight 0; Strategy Change = 0
Iteration 255: Weight 0; Strategy Change = 0
Iteration 256: Weight 0; Strategy Change = 0
Iteration 257: Weight 0; Strategy Change = 0
Iteration 258: Weight 0; Strategy Change = 0
Iteration 259: Weight 0; Strategy Change = 0
Iteration 260: Weight 0; Strategy Change = 0
Iteration 261: Weight 0; Strategy Change = 0
Iteration 262: Weight 0; Strategy Change = 0
Iteration 263: Weight 0; Strategy Change = 0
Iteration 264: Weight 0; Strategy Change = 0
Iteration 265: Weight 0; Strategy Change = 0
Iteration 266: Weight 0; Strategy Change = 0
Iteration 267: Weight 0; Strategy Change = 0
Iteration 268: Weight 0; Strategy Change = 0
Iteration 269: Weight 0; Strategy Change = 0
Iteration 270: Weight 0; Strategy Change = 0
Iteration 271: Weight 0; Strategy Change = 0
Iteration 272: Weight 0; Strategy Change = 0
Iteration 273: Weight 0; Strategy Change = 0
Iteration 274: Weight 0; Strategy Change = 0
Iteration 275: Weight 0; Strategy Change = 0
Iteration 276: Weight 0; Strategy Change = 0
Iteration 277: Weight 0; Strategy Change = 0
Iteration 278: Weight 0; Strategy Change = 0
Iteration 279: Weight 0; Strategy Change = 0
Iteration 280: Weight 0; Strategy Change = 0
Iteration 281: Weight 0; Strategy Change = 0
Iteration 282: Weight 0; Strategy Change = 0
Iteration 283: Weight 0; Strategy Change = 0
Iteration 284: Weight 0; Strategy Change = 0
Iteration 285: Weight 0; Strategy Change = 0
Iteration 286: Weight 0; Strategy Change = 0
Iteration 287: Weight 0; Strategy Change = 0
Iteration 288: Weight 0; Strategy Change = 0
Iteration 289: Weight 0; Strategy Change = 0
Iteration 290: Weight 0; Strategy Change = 0
Iteration 291: Weight 0; Strategy Change = 0
Iteration 292: Weight 0; Strategy Change = 0
Iteration 293: Weight 0; Strategy Change = 0
Iteration 294: Weight 0; Strategy Change = 0
Iteration 295: Weight 0; Strategy Change = 0
Iteration 296: Weight 0; Strategy Change = 0
Iteration 297: Weight 0; Strategy Change = 0
Iteration 298: Weight 0; Strategy Change = 0
Iteration 299: Weight 0; Strategy Change = 0
Iteration 300: Weight 0; Strategy Change = 0
Iteration 301: Weight 0; Strategy Change = 0
Iteration 302: Weight 0; Strategy Change = 0
Iteration 303: Weight 0; Strategy Change = 0
Iteration 304: Weight 0; Strategy Change = 0
Iteration 305: Weight 0; Strategy Change = 0
Iteration 306: Weight 0; Strategy Change = 0
Iteration 307: Weight 0; Strategy Change = 0
Iteration 308: Weight 0; Strategy Change = 0
Iteration 309: Weight 0; Strategy Change = 0
Iteration 310: Weight 0; Strategy Change = 0
Iteration 311: Weight 0; Strategy Change = 0
Iteration 312: Weight 0; Strategy Change = 0
Iteration 313: Weight 0; Strategy Change = 0
Iteration 314: Weight 0; Strategy Change = 0
Iteration 315: Weight 0; Strategy Change = 0
Iteration 316: Weight 0; Strategy Change = 0
Iteration 317: Weight 0; Strategy Change = 0
Iteration 318: Weight 0; Strategy Change = 0
Iteration 319: Weight 0; Strategy Change = 0
Iteration 320: Weight 0; Strategy Change = 0
Iteration 321: Weight 0; Strategy Change = 0
Iteration 322: Weight 0; Strategy Change = 0
Iteration 323: Weight 0; Strategy Change = 0
Iteration 324: Weight 0; Strategy Change = 0
Iteration 325: Weight 0; Strategy Change = 0
Iteration 326: Weight 0; Strategy Change = 0
Iteration 327: Weight 0; Strategy Change = 0
Iteration 328: Weight 0; Strategy Change = 0
Iteration 329: Weight 0; Strategy Change = 0
Iteration 330: Weight 0; Strategy Change = 0
Iteration 331: Weight 0; Strategy Change = 0
Iteration 332: Weight 0; Strategy Change = 0
Iteration 333: Weight 0; Strategy Change = 0
Iteration 334: Weight 0; Strategy Change = 0
Iteration 335: Weight 0; Strategy Change = 0
Iteration 336: Weight 0; Strategy Change = 0
Iteration 337: Weight 0; Strategy Change = 0
Iteration 338: Weight 0; Strategy Change = 0
Iteration 339: Weight 0; Strategy Change = 0
Iteration 340: Weight 0; Strategy Change = 0
Iteration 341: Weight 0; Strategy Change = 0
Iteration 342: Weight 0; Strategy Change = 0
Iteration 343: Weight 0; Strategy Change = 0
Iteration 344: Weight 0; Strategy Change = 0
Iteration 345: Weight 0; Strategy Change = 0
Iteration 346: Weight 0; Strategy Change = 0
Iteration 347: Weight 0; Strategy Change = 0
Iteration 348: Weight 0; Strategy Change = 0
Iteration 349: Weight 0; Strategy Change = 0
Iteration 350: Weight 0; Strategy Change = 0
Iteration 351: Weight 0; Strategy Change = 0
Iteration 352: Weight 0; Strategy Change = 0
Iteration 353: Weight 0; Strategy Change = 0
Iteration 354: Weight 0; Strategy Change = 0
Iteration 355: Weight 0; Strategy Change = 0
Iteration 356: Weight 0; Strategy Change = 0
Iteration 357: Weight 0; Strategy Change = 0
Iteration 358: Weight 0; Strategy Change = 0
Iteration 359: Weight 0; Strategy Change = 0
Iteration 360: Weight 0; Strategy Change = 0
Iteration 361: Weight 0; Strategy Change = 0
Iteration 362: Weight 0; Strategy Change = 0
Iteration 363: Weight 0; Strategy Change = 0
Iteration 364: Weight 0; Strategy Change = 0
Iteration 365: Weight 0; Strategy Change = 0
Iteration 366: Weight 0; Strategy Change = 0
Iteration 367: Weight 0; Strategy Change = 0
Iteration 368: Weight 0; Strategy Change = 0
Iteration 369: Weight 0; Strategy Change = 0
Iteration 370: Weight 0; Strategy Change = 0
Iteration 371: Weight 0; Strategy Change = 0
Iteration 372: Weight 0; Strategy Change = 0
Iteration 373: Weight 0; Strategy Change = 0
Iteration 374: Weight 0; Strategy Change = 0
Iteration 375: Weight 0; Strategy Change = 0
Iteration 376: Weight 0; Strategy Change = 0
Iteration 377: Weight 0; Strategy Change = 0
Iteration 378: Weight 0; Strategy Change = 0
Iteration 379: Weight 0; Strategy Change = 0
Iteration 380: Weight 0; Strategy Change = 0
Iteration 381: Weight 0; Strategy Change = 0
Iteration 382: Weight 0; Strategy Change = 0
Iteration 383: Weight 0; Strategy Change = 0
Iteration 384: Weight 0; Strategy Change = 0
Iteration 385: Weight 0; Strategy Change = 0
Iteration 386: Weight 0; Strategy Change = 0
Iteration 387: Weight 0; Strategy Change = 0
Iteration 388: Weight 0; Strategy Change = 0
Iteration 389: Weight 0; Strategy Change = 0
Iteration 390: Weight 0; Strategy Change = 0
Iteration 391: Weight 0; Strategy Change = 0
Iteration 392: Weight 0; Strategy Change = 0
Iteration 393: Weight 0; Strategy Change = 0
Iteration 394: Weight 0; Strategy Change = 0
Iteration 395: Weight 0; Strategy Change = 0
Iteration 396: Weight 0; Strategy Change = 0
Iteration 397: Weight 0; Strategy Change = 0
Iteration 398: Weight 0; Strategy Change = 0
Iteration 399: Weight 0; Strategy Change = 0
Iteration 400: Weight 0; Strategy Change = 0
Iteration 401: Weight 0; Strategy Change = 0
Iteration 402: Weight 0; Strategy Change = 0
Iteration 403: Weight 0; Strategy Change = 0
Iteration 404: Weight 0; Strategy Change = 0
Iteration 405: Weight 0; Strategy Change = 0
Iteration 406: Weight 0; Strategy Change = 0
Iteration 407: Weight 0; Strategy Change = 0
Iteration 408: Weight 0; Strategy Change = 0
Iteration 409: Weight 0; Strategy Change = 0
Iteration 410: Weight 0; Strategy Change = 0
Iteration 411: Weight 0; Strategy Change = 0
Iteration 412: Weight 0; Strategy Change = 0
Iteration 413: Weight 0; Strategy Change = 0
Iteration 414: Weight 0; Strategy Change = 0
Iteration 415: Weight 0; Strategy Change = 0
Iteration 416: Weight 0; Strategy Change = 0
Iteration 417: Weight 0; Strategy Change = 0
Iteration 418: Weight 0; Strategy Change = 0
Iteration 419: Weight 0; Strategy Change = 0
Iteration 420: Weight 0; Strategy Change = 0
Iteration 421: Weight 0; Strategy Change = 0
Iteration 422: Weight 0; Strategy Change = 0
Iteration 423: Weight 0; Strategy Change = 0
Iteration 424: Weight 0; Strategy Change = 0
Iteration 425: Weight 0; Strategy Change = 0
Iteration 426: Weight 0; Strategy Change = 0
Iteration 427: Weight 0; Strategy Change = 0
Iteration 428: Weight 0; Strategy Change = 0
Iteration 429: Weight 0; Strategy Change = 0
Iteration 430: Weight 0; Strategy Change = 0
Iteration 431: Weight 0; Strategy Change = 0
Iteration 432: Weight 0; Strategy Change = 0
Iteration 433: Weight 0; Strategy Change = 0
Iteration 434: Weight 0; Strategy Change = 0
Iteration 435: Weight 0; Strategy Change = 0
Iteration 436: Weight 0; Strategy Change = 0
Iteration 437: Weight 0; Strategy Change = 0
Iteration 438: Weight 0; Strategy Change = 0
Iteration 439: Weight 0; Strategy Change = 0
Iteration 440: Weight 0; Strategy Change = 0
Iteration 441: Weight 0; Strategy Change = 0
Iteration 442: Weight 0; Strategy Change = 0
Iteration 443: Weight 0; Strategy Change = 0
Iteration 444: Weight 0; Strategy Change = 0
Iteration 445: Weight 0; Strategy Change = 0
Iteration 446: Weight 0; Strategy Change = 0
Iteration 447: Weight 0; Strategy Change = 0
Iteration 448: Weight 0; Strategy Change = 0
Iteration 449: Weight 0; Strategy Change = 0
Iteration 450: Weight 0; Strategy Change = 0
Iteration 451: Weight 0; Strategy Change = 0
Iteration 452: Weight 0; Strategy Change = 0
Iteration 453: Weight 0; Strategy Change = 0
Iteration 454: Weight 0; Strategy Change = 0
Iteration 455: Weight 0; Strategy Change = 0
Iteration 456: Weight 0; Strategy Change = 0
Iteration 457: Weight 0; Strategy Change = 0
Iteration 458: Weight 0; Strategy Change = 0
Iteration 459: Weight 0; Strategy Change = 0
Iteration 460: Weight 0; Strategy Change = 0
Iteration 461: Weight 0; Strategy Change = 0
Iteration 462: Weight 0; Strategy Change = 0
Iteration 463: Weight 0; Strategy Change = 0
Iteration 464: Weight 0; Strategy Change = 0
Iteration 465: Weight 0; Strategy Change = 0
Iteration 466: Weight 0; Strategy Change = 0
Iteration 467: Weight 0; Strategy Change = 0
Iteration 468: Weight 0; Strategy Change = 0
Iteration 469: Weight 0; Strategy Change = 0
Iteration 470: Weight 0; Strategy Change = 0
Iteration 471: Weight 0; Strategy Change = 0
Iteration 472: Weight 0; Strategy Change = 0
Iteration 473: Weight 0; Strategy Change = 0
Iteration 474: Weight 0; Strategy Change = 0
Iteration 475: Weight 0; Strategy Change = 0
Iteration 476: Weight 0; Strategy Change = 0
Iteration 477: Weight 0; Strategy Change = 0
Iteration 478: Weight 0; Strategy Change = 0
Iteration 479: Weight 0; Strategy Change = 0
Iteration 480: Weight 0; Strategy Change = 0
Iteration 481: Weight 0; Strategy Change = 0
Iteration 482: Weight 0; Strategy Change = 0
Iteration 483: Weight 0; Strategy Change = 0
Iteration 484: Weight 0; Strategy Change = 0
Iteration 485: Weight 0; Strategy Change = 0
Iteration 486: Weight 0; Strategy Change = 0
Iteration 487: Weight 0; Strategy Change = 0
Iteration 488: Weight 0; Strategy Change = 0
Iteration 489: Weight 0; Strategy Change = 0
Iteration 490: Weight 0; Strategy Change = 0
Iteration 491: Weight 0; Strategy Change = 0
Iteration 492: Weight 0; Strategy Change = 0
Iteration 493: Weight 0; Strategy Change = 0
Iteration 494: Weight 0; Strategy Change = 0
Iteration 495: Weight 0; Strategy Change = 0
Iteration 496: Weight 0; Strategy Change = 0
Iteration 497: Weight 0; Strategy Change = 0
Iteration 498: Weight 0; Strategy Change = 0
Iteration 499: Weight 0; Strategy Change = 0
Iteration 500: Weight 0; Strategy Change = 0
Iteration 501: Weight 0; Strategy Change = 0
Iteration 502: Weight 0; Strategy Change = 0
Iteration 503: Weight 0; Strategy Change = 0
Iteration 504: Weight 0; Strategy Change = 0
Iteration 505: Weight 0; Strategy Change = 0
Iteration 506: Weight 0; Strategy Change = 0
Iteration 507: Weight 0; Strategy Change = 0
Iteration 508: Weight 0; Strategy Change = 0
Iteration 509: Weight 0; Strategy Change = 0
Iteration 510: Weight 0; Strategy Change = 0
Iteration 511: Weight 0; Strategy Change = 0
Iteration 512: Weight 0; Strategy Change = 0
Iteration 513: Weight 0; Strategy Change = 0
Iteration 514: Weight 0; Strategy Change = 0
Iteration 515: Weight 0; Strategy Change = 0
Iteration 516: Weight 0; Strategy Change = 0
Iteration 517: Weight 0; Strategy Change = 0
Iteration 518: Weight 0; Strategy Change = 0
Iteration 519: Weight 0; Strategy Change = 0
Iteration 520: Weight 0; Strategy Change = 0
Iteration 521: Weight 0; Strategy Change = 0
Iteration 522: Weight 0; Strategy Change = 0
Iteration 523: Weight 0; Strategy Change = 0
Iteration 524: Weight 0; Strategy Change = 0
Iteration 525: Weight 0; Strategy Change = 0
Iteration 526: Weight 0; Strategy Change = 0
Iteration 527: Weight 0; Strategy Change = 0
Iteration 528: Weight 0; Strategy Change = 1.60494e-35
Iteration 529: Weight 0; Strategy Change = 1.60494e-35
Iteration 530: Weight 0; Strategy Change = 0
Iteration 531: Weight 0; Strategy Change = 1.60494e-35
Iteration 532: Weight 0; Strategy Change = 1.60494e-35
Iteration 533: Weight 0; Strategy Change = 0
Iteration 534: Weight 0; Strategy Change = 1.60494e-35
Iteration 535: Weight 0; Strategy Change = 1.60494e-35
Iteration 536: Weight 0; Strategy Change = 0
Iteration 537: Weight 0; Strategy Change = 1.60494e-35
Iteration 538: Weight 0; Strategy Change = 1.60494e-35
Iteration 539: Weight 0; Strategy Change = 0
Iteration 540: Weight 0; Strategy Change = 1.60494e-35
Iteration 541: Weight 0; Strategy Change = 1.60494e-35
Iteration 542: Weight 0; Strategy Change = 0
